Time (UTC)	Intensity
2025-06-11 03:31:54.000363525+00:00	1.635644e+11
2025-06-11 03:31:55.000363525+00:00	1.635771e+11
2025-06-11 03:32:06.000363525+00:00	1.635693e+11
2025-06-11 03:32:20.000363525+00:00	1.635755e+11
2025-06-11 03:32:23.000363525+00:00	1.635793e+11
2025-06-11 03:32:27.000363525+00:00	1.635725e+11
2025-06-11 03:32:44.000363525+00:00	1.635447e+11
2025-06-11 03:32:49.000363525+00:00	1.635394e+11
2025-06-11 03:32:51.000363525+00:00	1.635501e+11
2025-06-11 03:32:55.000363525+00:00	1.635373e+11
2025-06-11 03:32:57.000363525+00:00	1.635612e+11
2025-06-11 03:32:58.000363525+00:00	1.635582e+11
2025-06-11 03:33:00.000363525+00:00	1.635656e+11
2025-06-11 03:33:05.000363525+00:00	1.635751e+11
2025-06-11 03:33:07.000363525+00:00	1.635716e+11
2025-06-11 03:33:09.000363525+00:00	1.635621e+11
2025-06-11 03:33:25.000363525+00:00	1.635487e+11
2025-06-11 03:33:26.000363525+00:00	1.635290e+11
2025-06-11 03:33:27.000363525+00:00	1.635430e+11
2025-06-11 03:33:29.000363525+00:00	1.635558e+11
2025-06-11 03:33:34.000363525+00:00	1.635501e+11
2025-06-11 03:33:35.000363525+00:00	1.635433e+11
2025-06-11 03:33:37.000363525+00:00	1.635415e+11
2025-06-11 03:33:38.000363525+00:00	1.635447e+11
2025-06-11 03:33:39.000363525+00:00	1.635362e+11
2025-06-11 03:33:41.000363525+00:00	1.635373e+11
2025-06-11 03:33:44.000363525+00:00	1.635213e+11
2025-06-11 03:33:47.000363525+00:00	1.635249e+11
2025-06-11 03:33:48.000363525+00:00	1.635211e+11
2025-06-11 03:33:57.000363525+00:00	1.635276e+11
2025-06-11 03:33:58.000363525+00:00	1.635128e+11
2025-06-11 03:34:00.000363525+00:00	1.635227e+11
2025-06-11 03:34:01.000363525+00:00	1.635209e+11
2025-06-11 03:34:03.000363525+00:00	1.635278e+11
2025-06-11 03:34:06.000363525+00:00	1.635204e+11
2025-06-11 03:34:07.000363525+00:00	1.635151e+11
2025-06-11 03:34:10.000363525+00:00	1.635133e+11
2025-06-11 03:34:15.000363525+00:00	1.635109e+11
2025-06-11 03:34:20.000363525+00:00	1.635045e+11
2025-06-11 03:34:22.000363525+00:00	1.635020e+11
2025-06-11 03:34:27.000363525+00:00	1.635022e+11
2025-06-11 03:34:33.000363525+00:00	1.634980e+11
2025-06-11 03:34:34.000363525+00:00	1.635070e+11
2025-06-11 03:34:41.000363525+00:00	1.635038e+11
2025-06-11 03:34:43.000363525+00:00	1.634971e+11
2025-06-11 03:34:49.000363525+00:00	1.634910e+11
2025-06-11 03:34:53.000363525+00:00	1.634822e+11
2025-06-11 03:35:01.000363525+00:00	1.634918e+11
2025-06-11 03:35:05.000363525+00:00	1.634899e+11
2025-06-11 03:35:06.000363525+00:00	1.634786e+11
2025-06-11 03:35:07.000363525+00:00	1.634781e+11
2025-06-11 03:35:13.000363525+00:00	1.634813e+11
2025-06-11 03:35:21.000363525+00:00	1.634691e+11
2025-06-11 03:35:26.000363525+00:00	1.634588e+11
2025-06-11 03:35:29.000363525+00:00	1.634658e+11
2025-06-11 03:35:31.000363525+00:00	1.634568e+11
2025-06-11 03:35:33.000363525+00:00	1.634649e+11
2025-06-11 03:35:37.000363525+00:00	1.634501e+11
2025-06-11 03:35:38.000363525+00:00	1.634464e+11
2025-06-11 03:35:50.000363525+00:00	1.634259e+11
2025-06-11 03:35:52.000363525+00:00	1.634218e+11
2025-06-11 03:35:55.000363525+00:00	1.634157e+11
2025-06-11 03:35:56.000363525+00:00	1.634121e+11
2025-06-11 03:35:57.000363525+00:00	1.634202e+11
2025-06-11 03:35:59.000363525+00:00	1.634068e+11
2025-06-11 03:36:05.000363525+00:00	1.634203e+11
2025-06-11 03:36:12.000363525+00:00	1.634186e+11
2025-06-11 03:36:22.000363525+00:00	1.634082e+11
2025-06-11 03:36:28.000363525+00:00	1.633936e+11
2025-06-11 03:36:29.000363525+00:00	1.633848e+11
2025-06-11 03:36:32.000363525+00:00	1.633950e+11
2025-06-11 03:36:33.000363525+00:00	1.633917e+11
2025-06-11 03:36:36.000363525+00:00	1.633933e+11
2025-06-11 03:36:39.000363525+00:00	1.633906e+11
2025-06-11 03:36:46.000363525+00:00	1.633818e+11
2025-06-11 03:36:48.000363525+00:00	1.633802e+11
2025-06-11 03:36:55.000363525+00:00	1.633487e+11
2025-06-11 03:37:02.000363525+00:00	1.633341e+11
2025-06-11 03:37:06.000363525+00:00	1.633133e+11
2025-06-11 03:37:10.000363525+00:00	1.633306e+11
2025-06-11 03:37:14.000363525+00:00	1.633143e+11
2025-06-11 03:37:28.000363525+00:00	1.633070e+11
2025-06-11 03:37:29.000363525+00:00	1.633004e+11
2025-06-11 03:37:30.000363525+00:00	1.633112e+11
2025-06-11 03:37:32.000363525+00:00	1.632945e+11
2025-06-11 03:37:37.000363525+00:00	1.633174e+11
2025-06-11 03:37:43.000363525+00:00	1.633357e+11
2025-06-11 03:37:49.000363525+00:00	1.633277e+11
2025-06-11 03:37:52.000363525+00:00	1.633112e+11
2025-06-11 03:37:53.000363525+00:00	1.633243e+11
2025-06-11 03:37:54.000363525+00:00	1.633246e+11
2025-06-11 03:37:59.000363525+00:00	1.633058e+11
2025-06-11 03:38:03.000363525+00:00	1.632932e+11
2025-06-11 03:38:09.000363525+00:00	1.633153e+11
2025-06-11 03:38:13.000363525+00:00	1.633075e+11
2025-06-11 03:38:15.000363525+00:00	1.633017e+11
2025-06-11 03:38:18.000363525+00:00	1.632982e+11
2025-06-11 03:38:20.000363525+00:00	1.633100e+11
2025-06-11 03:38:21.000363525+00:00	1.633058e+11
2025-06-11 03:38:27.000363525+00:00	1.632933e+11
2025-06-11 03:38:31.000363525+00:00	1.632878e+11
2025-06-11 03:38:34.000363525+00:00	1.633021e+11
2025-06-11 03:38:42.000363525+00:00	1.632907e+11
2025-06-11 03:38:43.000363525+00:00	1.632737e+11
